Name,IMO Number,Status,SOx Scrubber 1 Technology Type,SOx Scrubber 1 Retrofit Date,SOx Scrubber Status
SM Yantian,9312949,In Service,TBC,02. Dec 24,Fitted
COSCO France,9516416,In Service,Open Loop,01. Dec 24,Fitted
MSC Carolina,9295397,In Service,Hybrid,30. Nov 24,Fitted
Oakland Express,9667174,In Service,Open Loop,24. Nov 24,Fitted
Winning Vision,9859765,In Service,Open Loop,24. Nov 24,Fitted
MSC Nerissa V,9278155,In Service,TBC,23. Nov 24,Fitted
OOCL Oakland,9367190,In Service,TBC,22. Nov 24,Fitted
Suar Vigo,9250000,In Service,Open Loop,21. Nov 24,Fitted
African Lunde,9713961,In Service,Open Loop,21. Nov 24,Fitted
OOCL Kuala Lumpur,9367176,In Service,TBC,20. Nov 24,Fitted
Marco,9528574,In Service,Open Loop,19. Nov 24,Fitted
Fidum Australis,9869526,In Service,Open Loop,18. Nov 24,Fitted
Houston Express,9667150,In Service,Open Loop,16. Nov 24,Fitted
OOCL Nagoya,9445538,In Service,Open Loop,15. Nov 24,Fitted
Cosrising Lake,9735737,In Service,Open Loop,14. Nov 24,Fitted
Winning World,9859777,In Service,Open Loop,14. Nov 24,Fitted
Xin Han Yang,9389784,In Service,Open Loop,09. Nov 24,Fitted
COSCO America,9345427,In Service,Open Loop,09. Nov 24,Fitted
Cape Sun,9546899,In Service,Open Loop,07. Nov 24,Fitted
London Spirit,9312303,In Service,Open Loop,04. Nov 24,Fitted
Starship Taurus,9792498,In Service,Open Loop,04. Nov 24,Fitted
Kota Setia,9681285,In Service,Open Loop,04. Nov 24,Fitted
Royal Bliss,9804588,In Service,Open Loop,03. Nov 24,Fitted
Torm Gwyneth,9429003,In Service,Open Loop,03. Nov 24,Fitted
Coswisdom Lake,9727194,In Service,Open Loop,02. Nov 24,Fitted
Torm Eva,9577109,In Service,Open Loop,31. Oct 24,Fitted
New Harmony,9603207,In Service,Open Loop,31. Oct 24,Fitted
Fauskanger,9387700,In Service,Open Loop,29. Oct 24,Fitted
Neptune Phos,9451719,In Service,Open Loop,27. Oct 24,Fitted
Flourish,9474010,In Service,TBC,24. Oct 24,Fitted
Maersk Mongla,9840738,In Service,Hybrid,23. Oct 24,Fitted
Palona,9667112,In Service,Open Loop,23. Oct 24,Fitted
Winning Peace,9500625,In Service,Open Loop,23. Oct 24,Fitted
MSC Mumbai VIII,9294991,In Service,Hybrid,20. Oct 24,Fitted
New Vigorous,9486518,In Service,Open Loop,14. Oct 24,Fitted
SM Mumbai,9401051,In Service,Open Loop,14. Oct 24,Fitted
Torm Ganga,9461831,In Service,Open Loop,12. Oct 24,Fitted
Navios Stellar,9498781,In Service,Open Loop,11. Oct 24,Fitted
Pacific Blessing,9848089,In Service,Open Loop,11. Oct 24,Fitted
Nave Galactic,9384617,In Service,Open Loop,10. Oct 24,Fitted
MSC Ariane,9484443,In Service,Hybrid,09. Oct 24,Fitted
African Griffon,9701205,In Service,Open Loop,09. Oct 24,Fitted
New Assimina,9469546,In Service,Open Loop,07. Oct 24,Fitted
Navios Sol,9545170,In Service,Open Loop,07. Oct 24,Fitted
Atlantic Pioneer,9397145,In Service,Open Loop,07. Oct 24,Fitted
MSC Precision V,9450296,In Service,Hybrid,06. Oct 24,Fitted
Nave Universe,9515931,In Service,Open Loop,06. Oct 24,Fitted
Pacific Resource,9565326,In Service,Open Loop,06. Oct 24,Fitted
Navios Happiness,9447005,In Service,Open Loop,05. Oct 24,Fitted
MSC Mila 3,9062996,In Service,Hybrid,04. Oct 24,Fitted
Sinokor Sunrise,9602148,In Service,Open Loop,03. Oct 24,Fitted
Nave Synergy,9513763,In Service,Open Loop,02. Oct 24,Fitted
Shining Bliss,9518153,In Service,Open Loop,29. Sep 24,Fitted
Maersk Ningbo,9402639,In Service,TBC,28. Sep 24,Fitted
BG Orange,9964637,In Service,TBC,28. Sep 24,Fitted
Med Beykoz,9064748,In Service,Hybrid,23. Sep 24,Fitted
MSC Lucy,9289104,In Service,Hybrid,23. Sep 24,Fitted
MSC Elaine,9393321,In Service,Hybrid,22. Sep 24,Fitted
Icdas-5,9829916,In Service,Open Loop,22. Sep 24,Fitted
Aris,9598335,In Service,Open Loop,17. Sep 24,Fitted
Deyi Excellence,9314064,In Service,Open Loop,16. Sep 24,Fitted
G.P. Zafirakis,9671931,In Service,Open Loop,16. Sep 24,Fitted
Rimthan,9779836,In Service,Open Loop,13. Sep 24,Fitted
Jia He,9287998,In Service,Open Loop,13. Sep 24,Fitted
MSC Rida III,9393307,In Service,Hybrid,13. Sep 24,Fitted
Winning Rich,9498054,In Service,Open Loop,12. Sep 24,Fitted
OOCL New Zealand,9445514,In Service,TBC,11. Sep 24,Fitted
MSC Tia V,9232113,In Service,TBC,08. Sep 24,Fitted
COSCO Shipping Planet,9795660,In Service,Open Loop,08. Sep 24,Fitted
MSC Darwin VI,9200689,In Service,Hybrid,07. Sep 24,Fitted
SM Shanghai,9312779,In Service,Open Loop,06. Sep 24,Fitted
Navios Melodia,9451276,In Service,Open Loop,06. Sep 24,Fitted
Continental,9714381,In Service,Open Loop,06. Sep 24,Fitted
MSC Unific VI,9168843,In Service,Hybrid,05. Sep 24,Fitted
Yuntong,9424235,In Service,Open Loop,04. Sep 24,Fitted
Sky Challenge,9705445,In Service,Open Loop,04. Sep 24,Fitted
Jakarta Voyager,9532288,In Service,TBC,02. Sep 24,Fitted
Falbala,9598311,In Service,Open Loop,01. Sep 24,Fitted
Xin Yue Yang,9389772,In Service,Open Loop,29. Aug 24,Fitted
Winning Spirit,9597824,In Service,Open Loop,26. Aug 24,Fitted
MSC Yamuna VI,9288409,In Service,Hybrid,26. Aug 24,Fitted
Cape Toucan,9270567,In Service,Open Loop,26. Aug 24,Fitted
Dorado,9585106,In Service,Open Loop,26. Aug 24,Fitted
MSC Tianjin,9285471,In Service,TBC,24. Aug 24,Fitted
Reachy Summer,9458755,In Service,Open Loop,24. Aug 24,Fitted
Atlanta Express,9667162,In Service,Open Loop,23. Aug 24,Fitted
Oceana,9667095,In Service,Open Loop,21. Aug 24,Fitted
Silver Monika,9682344,In Service,Open Loop,21. Aug 24,Fitted
Xin Yue,9439046,In Service,Open Loop,21. Aug 24,Fitted
Shaden,9779848,In Service,Open Loop,19. Aug 24,Fitted
Maersk Songkhla,9840726,In Service,Hybrid,13. Aug 24,Fitted
New Wisdom,9486506,In Service,Open Loop,08. Aug 24,Fitted
BG Red,9976965,In Service,TBC,08. Aug 24,Fitted
HC Glory,9500314,In Service,Open Loop,05. Aug 24,Fitted
Glistar,9249324,In Service,Open Loop,04. Aug 24,Fitted
Oceana River,9800738,In Service,Open Loop,04. Aug 24,Fitted
Seabliss,9587207,In Service,Open Loop,02. Aug 24,Fitted
BLC Third,9855202,In Service,Open Loop,02. Aug 24,Fitted
Glovis Symphony,9702429,In Service,Open Loop,01. Aug 24,Fitted
MSC Vandya,9484467,In Service,Hybrid,01. Aug 24,Fitted
NCC Maha,9387683,In Service,Open Loop,01. Aug 24,Fitted
Amjad,9779800,In Service,Open Loop,31. Jul 24,Fitted
Cape Mineral,9283681,In Service,Open Loop,30. Jul 24,Fitted
New Energy,9708526,In Service,Open Loop,29. Jul 24,Fitted
New Wealth,9706384,In Service,Open Loop,24. Jul 24,Fitted
Torm Gitte,9426312,In Service,Open Loop,24. Jul 24,Fitted
Silver Emily,9682356,In Service,Open Loop,23. Jul 24,Fitted
Torm India,9440033,In Service,Open Loop,21. Jul 24,Fitted
Jian Fa,9284659,In Service,Open Loop,21. Jul 24,Fitted
Yuan Wang Hai,9516519,In Service,TBC,20. Jul 24,Fitted
Navios Gem,9682942,In Service,Open Loop,18. Jul 24,Fitted
Nestos,9417464,In Service,Open Loop,18. Jul 24,Fitted
Saathi,9402732,In Service,Open Loop,17. Jul 24,Fitted
Marijeannie C,9434565,In Service,Open Loop,17. Jul 24,Fitted
Navios Lumen,9500637,In Service,Open Loop,16. Jul 24,Fitted
NCC Qamar,9387671,In Service,Open Loop,15. Jul 24,Fitted
Berge Bimberi,9331414,In Service,TBC,15. Jul 24,Fitted
Cosglad Lake,9591284,In Service,Hybrid,15. Jul 24,Fitted
YM Essence,9496599,In Service,TBC,12. Jul 24,Fitted
MSC Floriana VI,9168831,In Service,Hybrid,12. Jul 24,Fitted
HMM Mongla,9658446,In Service,TBC,11. Jul 24,Fitted
Xin Hong,9255024,In Service,Open Loop,09. Jul 24,Fitted
Deyi Venus,9268825,In Service,Open Loop,08. Jul 24,Fitted
Maersk Sihanoukville,9840714,In Service,Open Loop,05. Jul 24,Fitted
Falmouth Bay,9615779,In Service,Open Loop,04. Jul 24,Fitted
Acacia,9597642,In Service,Open Loop,04. Jul 24,Fitted
Gouverneur,9469649,In Service,Open Loop,03. Jul 24,Fitted
Demeter Venture,9314674,In Service,Open Loop,02. Jul 24,Fitted
COSCO Shipping Aquarius,9789623,In Service,Open Loop,02. Jul 24,Fitted
Minerva Zoe,9800568,In Service,Open Loop,01. Jul 24,Fitted
Oriental Dragon,9683104,In Service,Open Loop,30. Jun 24,Fitted
Volans,9422988,In Service,TBC,29. Jun 24,Fitted
Winning Hope,9722950,In Service,Open Loop,28. Jun 24,Fitted
Tong Lin Wan,9652014,In Service,Open Loop,27. Jun 24,Fitted
Lawhah,9783681,In Service,Open Loop,25. Jun 24,Fitted
Great Zhou,9445320,In Service,Open Loop,24. Jun 24,Fitted
Halley,9275062,In Service,Open Loop,24. Jun 24,Fitted
Eastar Luck,9348285,In Service,Open Loop,23. Jun 24,Fitted
Georgios,9389033,In Service,Open Loop,22. Jun 24,Fitted
Voula,9488413,In Service,Open Loop,21. Jun 24,Fitted
OOCL Hamburg,9252008,In Service,Open Loop,21. Jun 24,Fitted
Glovis Summit,9702417,In Service,Open Loop,19. Jun 24,Fitted
MSC Adelaide,9618290,In Service,Hybrid,18. Jun 24,Fitted
MSC Chiara X,9198587,In Service,TBC,17. Jun 24,Fitted
Miyagawa Maru,9839040,In Service,Open Loop,17. Jun 24,Fitted
New Odyssey,9708497,In Service,Open Loop,16. Jun 24,Fitted
Crescent River,9800726,In Service,Open Loop,15. Jun 24,Fitted
Sunny Star,9461300,In Service,Open Loop,14. Jun 24,Fitted
Nikiland,9426001,In Service,Open Loop,13. Jun 24,Fitted
Corona Ace,9691527,In Service,Open Loop,10. Jun 24,Fitted
MSC Sena,9116369,In Service,Hybrid,09. Jun 24,Fitted
Aslaf,9779824,In Service,Open Loop,08. Jun 24,Fitted
Winning Grace,9722948,In Service,Open Loop,08. Jun 24,Fitted
Twin Pollux,9625968,In Service,Open Loop,07. Jun 24,Fitted
MSC Masha 3,9188219,In Service,Hybrid,06. Jun 24,Fitted
Pinocchio,9400112,In Service,Open Loop,06. Jun 24,Fitted
Great Han,9445332,In Service,Open Loop,05. Jun 24,Fitted
Cape Midori,9531868,In Service,Open Loop,04. Jun 24,Fitted
Charleston Express,9665645,In Service,Open Loop,02. Jun 24,Fitted
Kota Sempena,9681273,In Service,Open Loop,31. May 24,Fitted
Stelios Y,9567972,In Service,Open Loop,31. May 24,Fitted
New Laurel,9603192,In Service,Open Loop,28. May 24,Fitted
Shanghai Voyager,9536973,In Service,Open Loop,27. May 24,Fitted
COSCO Shipping Star,9795658,In Service,Open Loop,25. May 24,Fitted
Torm Gwendolyn,9428982,In Service,Open Loop,25. May 24,Fitted
Los Angeles Express,9665633,In Service,Open Loop,24. May 24,Fitted
Torm Danica,9702194,In Service,Open Loop,23. May 24,Fitted
Nord Power,9537848,In Service,Open Loop,23. May 24,Fitted
SM Ningbo,9312937,In Service,Open Loop,22. May 24,Fitted
YM Evolution,9496460,In Service,TBC,19. May 24,Fitted
Glovis Sunrise,9702405,In Service,Open Loop,19. May 24,Fitted
BG Blue,9964625,In Service,TBC,19. May 24,Fitted
COSCO Pacific,9355551,In Service,Open Loop,18. May 24,Fitted
MSC Marina,9275971,In Service,Hybrid,17. May 24,Fitted
New Comfort,9706413,In Service,Open Loop,17. May 24,Fitted
OOCL Korea,9627992,In Service,Open Loop,17. May 24,Fitted
MSC Magnum VII,9252541,In Service,Hybrid,16. May 24,Fitted
ASL Era,9494187,In Service,Open Loop,16. May 24,Fitted
YM Mutuality,9455870,In Service,Open Loop,16. May 24,Fitted
Peace One,9428334,In Service,Open Loop,15. May 24,Fitted
New Joviality,9486491,In Service,Open Loop,15. May 24,Fitted
Leone Star,9311464,In Service,Open Loop,15. May 24,Fitted
Marina,9389021,In Service,Open Loop,14. May 24,Fitted
Jin Da Hai,9516533,In Service,Open Loop,13. May 24,Fitted
Torm Cavatina,9343209,In Service,Open Loop,12. May 24,Fitted
Silver Esther,9683336,In Service,TBC,11. May 24,Fitted
Ru Yi,9345623,In Service,Open Loop,10. May 24,Fitted
Lazord A,9512214,In Service,TBC,09. May 24,Fitted
Ardmore Seavanguard,9637088,In Service,Open Loop,09. May 24,Fitted
Chang Xing Yuan,9710397,In Service,Open Loop,07. May 24,Fitted
MSC Nairobi X,9605243,In Service,Hybrid,06. May 24,Fitted
ASL Polaris,9416848,In Service,Open Loop,06. May 24,Fitted
Maersk New Delhi,9402627,In Service,Open Loop,04. May 24,Fitted
Zhong Xing Hai,9516507,In Service,TBC,04. May 24,Fitted
Winning Rising,9393199,In Service,Open Loop,03. May 24,Fitted
COSCO Shipping Galaxy,9795634,In Service,TBC,01. May 24,Fitted
Maersk Bintulu,9840702,In Service,Hybrid,30. Apr 24,Fitted
Seasprite,9711468,In Service,Open Loop,30. Apr 24,Fitted
Rui Fu Tai,9258600,In Service,Open Loop,29. Apr 24,Fitted
Delta Hellas,9406673,In Service,Open Loop,27. Apr 24,Fitted
Saar N,9603427,In Service,Open Loop,27. Apr 24,Fitted
Trans Tind,9594054,In Service,Open Loop,27. Apr 24,Fitted
NCC Fajr,9595644,In Service,TBC,26. Apr 24,Fitted
MSC Maureen,9251717,In Service,Hybrid,26. Apr 24,Fitted
MSC Carpathia III,9253038,In Service,Open Loop,23. Apr 24,Fitted
YM Uniform,9337482,In Service,Open Loop,22. Apr 24,Fitted
MSC Magnitude VII,9252553,In Service,Hybrid,21. Apr 24,Fitted
YM Wellspring,9757230,In Service,Open Loop,21. Apr 24,Fitted
COSCO Shipping Solar,9795646,In Service,Open Loop,20. Apr 24,Fitted
Ardmore Exporter,9654775,In Service,Open Loop,20. Apr 24,Fitted
BG Green,9964613,In Service,TBC,20. Apr 24,Fitted
Falcon Courage,9522659,In Service,Open Loop,18. Apr 24,Fitted
Indigo Hope,9487639,In Service,Open Loop,17. Apr 24,Fitted
WEC Van Eyck,9365984,In Service,Hybrid,16. Apr 24,Fitted
Xin Run Yang,9389760,In Service,Open Loop,16. Apr 24,Fitted
YM Mobility,9457737,In Service,Open Loop,15. Apr 24,Fitted
Leone Luck,9346330,In Service,Open Loop,15. Apr 24,Fitted
Rantanplan,9307023,In Service,Open Loop,15. Apr 24,Fitted
Baltimore Express,9665621,In Service,Open Loop,15. Apr 24,Fitted
Sky Orion,9719795,In Service,Open Loop,14. Apr 24,Fitted
OOCL Southampton,9310240,In Service,Open Loop,13. Apr 24,Fitted
Samurai,9378876,In Service,Open Loop,12. Apr 24,Fitted
Seagrace,9934826,In Service,TBC,11. Apr 24,Fitted
Oriental Express,9346366,In Service,Open Loop,10. Apr 24,Fitted
COSCO Asia,9345403,In Service,Open Loop,09. Apr 24,Fitted
Maple Gas,9800491,In Service,Open Loop,09. Apr 24,Fitted
Unisail Star,9979113,In Service,Open Loop,09. Apr 24,Fitted
New Honor,9799159,In Service,Open Loop,08. Apr 24,Fitted
K. Aster,9375965,In Service,Open Loop,06. Apr 24,Fitted
Millicent,9522714,In Service,TBC,06. Apr 24,Fitted
Eucalyptus,9832456,In Service,Open Loop,04. Apr 24,Fitted
Shizukisan,9339997,In Service,Open Loop,03. Apr 24,Fitted
Enna,9453743,In Service,Open Loop,02. Apr 24,Fitted
YM Wonderland,9820910,In Service,Open Loop,29. Mar 24,Fitted
Ardmore Seavantage,9637076,In Service,Open Loop,27. Mar 24,Fitted
Mosel N,9603415,In Service,Open Loop,27. Mar 24,Fitted
Corona Splendor,9675614,In Service,Open Loop,27. Mar 24,Fitted
COSCO Europe,9345415,In Service,Open Loop,24. Mar 24,Fitted
Venezia,9304631,In Service,Open Loop,22. Mar 24,Fitted
Casanova,9454151,In Service,Open Loop,21. Mar 24,Fitted
Baogang Spirit,9437282,In Service,Open Loop,21. Mar 24,Fitted
Seeker 8,9294329,In Service,Open Loop,20. Mar 24,Fitted
CSB Hope,9431240,In Service,Open Loop,19. Mar 24,Fitted
OOCL Taipei,9477907,In Service,Open Loop,16. Mar 24,Fitted
Grande San Paolo,9253208,In Service,Open Loop,16. Mar 24,Fitted
Iris Bliss,9766944,In Service,Open Loop,16. Mar 24,Fitted
GH Alize,9536155,In Service,Open Loop,15. Mar 24,Fitted
MSC Ingrid,9181651,In Service,Hybrid,11. Mar 24,Fitted
Bengang,9406154,In Service,Open Loop,08. Mar 24,Fitted
ZJE Ocean 1,9597197,In Service,Open Loop,08. Mar 24,Fitted
MSC Dakar X,9605231,In Service,Hybrid,07. Mar 24,Fitted
MSC Flavia,9467433,In Service,Hybrid,04. Mar 24,Fitted
COSCO Belgium,9516404,In Service,Open Loop,02. Mar 24,Fitted
Stellar Beverly,9208069,In Service,Open Loop,28. Feb 24,Fitted
MSC York VII,9196838,In Service,Hybrid,24. Feb 24,Fitted
WEC Van Rijn,9315006,In Service,Hybrid,24. Feb 24,Fitted
Fortis Australis,9834131,In Service,Open Loop,23. Feb 24,Fitted
Asia Unity,9622069,In Service,Open Loop,20. Feb 24,Fitted
Aurora Riley,9181649,In Service,Open Loop,19. Feb 24,Fitted
SAMC Transporter,9355159,In Service,Open Loop,16. Feb 24,Fitted
MSC Deila,9461415,In Service,Hybrid,08. Feb 24,Fitted
Captain Leonidas,9271561,In Service,Open Loop,07. Feb 24,Fitted
Heng Mao,9516492,In Service,TBC,06. Feb 24,Fitted
Fiona II,9262766,In Service,Open Loop,04. Feb 24,Fitted
MSC Houston V,9463281,In Service,Hybrid,02. Feb 24,Fitted
Marina Bliss,9518141,In Service,Open Loop,02. Feb 24,Fitted
Dagmar,9794135,In Service,Open Loop,02. Feb 24,Fitted
Tian Fa Hai,9516521,In Service,Open Loop,01. Feb 24,Fitted
MSC Florentina,9251705,In Service,Hybrid,31. Jan 24,Fitted
MSC Brittany,9724049,In Service,Hybrid,31. Jan 24,Fitted
MCC Taipei,9823766,In Service,Hybrid,29. Jan 24,Fitted
MSC Tomoko,9309461,In Service,Hybrid,28. Jan 24,Fitted
MSC Ludovica,9251690,In Service,Hybrid,24. Jan 24,Fitted
MSC Pilar VI,9248148,In Service,Hybrid,24. Jan 24,Fitted
Atlas Venture,9281918,In Service,Open Loop,24. Jan 24,Fitted
COSCO Portugal,9516466,In Service,Open Loop,24. Jan 24,Fitted
Alkimos,9603001,In Service,Open Loop,24. Jan 24,Fitted
Europa Bay,9615767,In Service,Open Loop,24. Jan 24,Fitted
GNV Sealand,9435454,In Service,TBC,22. Jan 24,Fitted
Glovis Superior,9674189,In Service,Open Loop,21. Jan 24,Fitted
Torm Integrity,9602710,In Service,Open Loop,18. Jan 24,Fitted
Twin Castor,9625956,In Service,Open Loop,17. Jan 24,Fitted
Siena,9833735,In Service,Open Loop,17. Jan 24,Fitted
MSC Jade,9762326,In Service,Hybrid,17. Jan 24,Fitted
MSC Sydney VI,9200677,In Service,Hybrid,17. Jan 24,Fitted
Ares Venture,9439034,In Service,Open Loop,15. Jan 24,Fitted
Ever Top,9665619,In Service,Open Loop,15. Jan 24,Fitted
Acacia Seaways,9809112,In Service,Hybrid,14. Jan 24,Fitted
COSCO Oceania,9334923,In Service,Open Loop,14. Jan 24,Fitted
Winning Team,9336945,In Service,Open Loop,11. Jan 24,Fitted
Ardmore Explorer,9654581,In Service,Open Loop,10. Jan 24,Fitted
Chokaisan,9562685,In Service,Open Loop,06. Jan 24,Fitted
Xin Yuan,9348273,In Service,Open Loop,06. Jan 24,Fitted
MSC Illinois VII,9197545,In Service,Hybrid,05. Jan 24,Fitted
COSCO Spain,9516442,In Service,Open Loop,03. Jan 24,Fitted
Queena,9736286,In Service,Open Loop,03. Jan 24,Fitted
Torm Evelyn,9456927,In Service,Open Loop,31. Dec 23,Fitted
Warramboo,9621340,In Service,Open Loop,30. Dec 23,Fitted
Xin Da,9311828,In Service,Open Loop,30. Dec 23,Fitted
MSC Uberty VIII,9337444,In Service,Hybrid,30. Dec 23,Fitted
MSC Rikku,9393319,In Service,Hybrid,28. Dec 23,Fitted
YM Utility,9337470,In Service,Open Loop,27. Dec 23,Fitted
MSC London,9606302,In Service,Hybrid,27. Dec 23,Fitted
Hochiminh Voyager,9532276,In Service,Open Loop,26. Dec 23,Fitted
Ramform Tethys,9676888,In Service,TBC,26. Dec 23,Fitted
MTM New York,9749386,In Service,Open Loop,25. Dec 23,Fitted
Shonai Maru,9827231,In Service,Open Loop,23. Dec 23,Fitted
Clover Colossus,9748758,In Service,Open Loop,22. Dec 23,Fitted
MSC Rosa M,9461398,In Service,Hybrid,22. Dec 23,Fitted
Ottoman Equity,9404950,In Service,Open Loop,22. Dec 23,Fitted
MSC Kalamata VII,9244946,In Service,Hybrid,21. Dec 23,Fitted
COSCO Shipping Pisces,9789647,In Service,Open Loop,20. Dec 23,Fitted
COSCO England,9516428,In Service,Open Loop,19. Dec 23,Fitted
Top Elegance,9767900,In Service,Hybrid,17. Dec 23,Fitted
MSC Lagos X,9605152,In Service,Hybrid,15. Dec 23,Fitted
COSCO Denmark,9516478,In Service,Open Loop,14. Dec 23,Fitted
MSC Lauren,9467407,In Service,Hybrid,13. Dec 23,Fitted
Tai Shan,9613068,In Service,Open Loop,13. Dec 23,Fitted
MCC Yangon,9823754,In Service,Hybrid,12. Dec 23,Fitted
MSC Cristina,9465241,In Service,Hybrid,12. Dec 23,Fitted
Hakuna Matata,9354167,In Service,Open Loop,08. Dec 23,Fitted
Southern Pearl,9821457,In Service,Open Loop,07. Dec 23,Fitted
MSC Avni,9756729,In Service,Hybrid,06. Dec 23,Fitted
MSC Husum III,9326835,In Service,Open Loop,06. Dec 23,Fitted
Gas Aries,9670004,In Service,TBC,05. Dec 23,Fitted
Medi Argentario,9771298,In Service,Open Loop,04. Dec 23,Fitted
Bigli,9307047,In Service,Open Loop,03. Dec 23,Fitted
Torm Evolve,9577068,In Service,Open Loop,02. Dec 23,Fitted
Tulipa Seaways,9809100,In Service,TBC,30. Nov 23,Fitted
MSC Eleni,9278143,In Service,TBC,30. Nov 23,Fitted
Maersk Newark,9402615,In Service,Open Loop,28. Nov 23,Fitted
MSC Bridgeport,9243409,In Service,Hybrid,25. Nov 23,Fitted
MSC Michigan VII,9196864,In Service,Hybrid,25. Nov 23,Fitted
Omega Trader,9567659,In Service,Open Loop,25. Nov 23,Fitted
COSCO Shipping Nebula,9795622,In Service,Open Loop,25. Nov 23,Fitted
Glovis Supreme,9674177,In Service,Open Loop,25. Nov 23,Fitted
Nadi Chief,9861885,In Service,Open Loop,25. Nov 23,Fitted
X-Press Anglesey,9623843,In Service,Open Loop,22. Nov 23,Fitted
OOCL Egypt,9622631,In Service,Open Loop,22. Nov 23,Fitted
Jaya,9410387,In Service,Open Loop,21. Nov 23,Fitted
