Type,Built,Status,Company,Group Company,Operator,Builder,Flag State,SOx Scrubber Status,Power Type,Current Global Zone,Current National Waters,Name,GT,Dwt,MMSI (Maritime Mobile Service Identity),IMO Number,Speed (knots),Engine Derived Total Main Engine Mechanical kW
Tanker,2018,In Service,Almi Tankers,Almi Tankers,Almi Tankers,Hyundai Samho HI,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Almi Atlas,"162,306","315,221",636017969,9816323,15.50,"26,200"
Bulk Carrier,2012,In Service,Costamare Shipping,Costamare Shipping,Costamare Shipping,Zhejiang Ouhua SB,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Builder,"44,289","81,541",636020873,9589255,14.50,"10,750"
Bulk Carrier,2008,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Tsuneishi Zhoushan,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,,Star Luna,"43,158","82,687",538007193,9440849,14.50,"9,793"
Chemical Parcel Tanker,2009,In Service,TORM A/S,TORM A/S,TORM A/S,Brod. Trogir,Danish Int'l,Fitted,Diesel 2-Stroke,West Coast Africa,,Torm Leader,"26,751","46,070",219028423,9343194,15.50,"8,580"
Fully Cellular Container,2003,In Service,Unknown,Unknown,MSC,I.H.I. (Kure),Cyprus,Fitted,Diesel 2-Stroke,West Coast North America,,MSC Bosphorus,"75,484","81,171",209470000,9247742,25.00,"61,350"
Reefer,1998,In Service,Seatrade Groningen,Seatrade Groningen,Seatrade Reefer,SK Kochi Jyuko,Liberia,Fitted,Diesel 2-Stroke,East Coast South America,Suriname,Atlantic Reefer,"10,991","12,625",636016238,9179256,20.00,"11,003"
Cruise Ship,2023,In Service,NCL,NCL Holdings,NCL,Fincantieri Marghera,Bahamas,Fitted,Diesel Electric,East Coast North America,,Norwegian Viva,"143,535","9,547",311001127,9823998,21.00,"50,400"
Fully Cellular Container,2007,In Service,MSC,MSC,MSC,CSBC (Kaohsiung),Liberia,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,MSC Los Angeles,"66,199","67,680",636021449,9327798,26.00,"57,227"
Aggregates Carrier,2009,In Service,Mibau-Stema Shpg.,Mibau-Stema Shpg.,Mibau-Stema Shpg.,J. J. Sietas,Antigua & B.,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Poland,Bulknes,"20,234","33,171",305425000,9384370,13.90,"7,995"
Tanker,2018,In Service,Sun Enterprises,Sun Enterprises,Sun Enterprises,JMU Ariake Shipyard,Bahamas,Fitted,Diesel 2-Stroke,Australasia,,Lita,"156,376","302,520",311000686,9819870,15.80,"24,330"
Fully Cellular Container,2011,In Service,Navios MLP,Navios Holdings,Hapag-Lloyd,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Navios Constellation,"113,515","118,712",636018038,9408877,25.10,"68,640"
Bulk Carrier,2015,In Service,Thenamaris Conbulk,Thenamaris,SwissMarine Pte Ltd,Shanghai Waigaoqiao,Malta,Fitted,Diesel 2-Stroke,West Coast Africa,,Seaforce,"94,542","181,098",256238000,9685487,15.00,"16,860"
Multi-Purpose,2000,In Service,Wijnne Barends,Spliethoff,UPM,Niestern Sander,Netherlands,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Latvia,Lady Clarissa,"4,235","5,375",246447000,9201803,15.50,"2,879"
Semi-Submersible Heavy Lift,2007,In Service,DYT Yacht Transport,Spliethoff,DYT Yacht Transport,Yantai Raffles,Curacao,Fitted,Diesel Electric,East Coast North America,,Yacht Express,"17,951","12,500",306814000,9346029,18.00,"17,400"
Tanker,2011,In Service,Dynacom Tankers Mgmt,Dynacom,Dynacom Tankers Mgmt,SCS Shipbuilding,Malta,Pending,Diesel 2-Stroke,East Asia,People's Republic Of China,Polymnia I,"156,651","296,812",215254000,9575955,15.30,"25,480"
Bulk Carrier,2014,In Service,Load Line,Load Line,Load Line,Korea Yanase SB,Marshall Is.,Fitted,Diesel 2-Stroke,Australasia,,Stelios T,"22,927","32,470",538010334,9571430,14.00,"7,860"
Chemical & Oil Carrier,2018,In Service,Cido Shipping,Cido Shipping,,Hyundai Mipo,Marshall Is.,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Atlantic Falcon,"29,667","49,951",538008116,9789257,14.50,"7,180"
Bulk Carrier,2013,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Jiangsu Hantong HI,Liberia,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Star Cleo,"32,987","56,581",636024763,9594638,13.50,"8,500"
Cruise Ship,2012,In Service,Carnival Cruise Line,Carnival Corporation,Carnival Cruise Line,Fincantieri Monfalco,Panama,Fitted,Diesel Electric,East Coast North America,,Carnival Breeze,"128,052","10,250",354842000,9555723,20.00,"75,600"
Bulk Carrier,2011,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Sungdong SB,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,South Korea,Solar Glory,"93,196","179,385",477234700,9569786,15.00,"18,660"
Fully Cellular Container,2002,In Service,MSC,MSC,MSC,Hyundai Samho HI,Panama,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,MSC Donata,"40,300","51,020",372491000,9237151,24.00,"36,450"
Fully Cellular Container,2001,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,MHI Kobe,Italy,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Ital Universo,"69,246","63,216",247012900,9196993,25.00,"48,631"
Fully Cellular Container,1993,In Service,MSC,MSC,MSC,Thyssen Nordsee,Panama,Pending,Diesel 2-Stroke,West Coast Africa,Gabon,MSC America III,"34,231","45,696",355028000,9008603,19.00,"16,438"
Tanker,2006,In Service,Draco Buren Shpg,Draco Buren Shpg,Draco Buren Shpg,Universal SB Ariake,Panama,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Hansika,"156,933","298,495",352002323,9326067,16.50,"25,090"
Fully Cellular Container,2009,In Service,MSC,MSC,MSC,Hyundai Samho HI,Panama,Fitted,Diesel 2-Stroke,Indian Subcontinent,Sri Lanka,MSC Elaine,"94,511","95,810",371929000,9393321,17.00,"78,919"
Ro-Ro,2020,In Service,DFDS,DFDS,DFDS,CMJL (Nanjing),Danish Int'l,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Flandria Seaways,"60,465","17,183",219358000,9860142,21.00,"23,600"
Bulk Carrier,2015,In Service,Taiheiyo Kisen,NYK Line,Taiheiyo Kisen,Imabari SB Marugame,Madeira,Fitted,Diesel 2-Stroke,East Asia,South Korea,S Samba,"45,200","84,867",255915963,9712486,14.00,"9,000"
Fully Cellular Container,2015,In Service,Hapag-Lloyd,Hapag-Lloyd,Hapag-Lloyd,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Cisnes,"93,685","104,544",636092799,9687576,23.80,"45,300"
Multi-Purpose/Heavy Lift Cargo,2000,In Service,Spliethoff,Spliethoff,Spliethoff,Szczecin Shipyard,Netherlands,Fitted,Diesel 4-Stroke,East Coast North America,,Stadiongracht,"16,639","21,250",246466000,9202508,17.00,"12,062"
Chip Carrier,2007,In Service,Cygnet Bulk Carriers,Mitsui OSK Lines,Cygnet Bulk Carriers,Tsuneishi Zosen,Panama,Fitted,Diesel 2-Stroke,East Asia,Japan,Southern Star,"39,895","49,470",355702000,9344071,14.80,"8,456"
Fully Cellular Container,2007,In Service,Grace Ocean,Grace Ocean,OOCL,Koyo Dock,Hong Kong,Fitted,Diesel 2-Stroke,Australasia,Australia,OOCL Kuala Lumpur,"66,462","66,940",477793900,9367176,25.00,"56,442"
Ore Carrier,2013,In Service,Pan Ocean,Pan Ocean,Pan Ocean,STX SB (Jinhae),Marshall Is.,Fitted,Diesel 2-Stroke,East Coast South America,,Sea Maranhao,"199,959","403,844",538008959,9575515,14.80,"29,260"
Tanker,2019,In Service,Enesel SA,N.S. Lemos,Enesel SA,Hyundai HI (Ulsan),Malta,Fitted,Diesel 2-Stroke,East Coast North America,,Agios Nikolas,"162,813","319,191",215281000,9845506,15.00,"24,500"
Bulk Carrier,2013,In Service,Blue Fleet,Blue Fleet,Blue Fleet,Jiangsu Hantong HI,Panama,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Russia,Super Rice,"32,987","56,615",352004012,9621792,13.50,"8,500"
Ro-Ro/Container,2013,Idle,MARAD,MARAD,,Daewoo (DSME),United States,Fitted,Diesel 2-Stroke,East Coast North America,United States,Cape Sable,"50,722","46,704",303829026,9578983,15.50,"22,890"
Multi-Purpose,2011,In Service,Spliethoff,Spliethoff,Spliethoff,Zhejiang Ouhua SB,Netherlands,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,Slovenia,Maasgracht,"9,524","12,500",246766000,9571492,15.30,"5,430"
Fully Cellular Container,2009,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,East Coast South America,,MSC Noa,"75,582","85,760",636018659,9398228,25.75,"57,100"
Fully Cellular Container,2000,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,Indian Subcontinent,,MSC York VII,"74,661","81,462",636018964,9196838,25.00,"57,160"
Fully Cellular Container,1992,In Service,Niki Shpg Co Inc,Niki Shpg Co Inc,MSC,Bremer Vulkan,Panama,Pending,Diesel 2-Stroke,East Coast Africa,Kenya,MSC Nederland III,"37,071","47,120",355254000,8918954,21.00,"21,698"
Chip Carrier,2006,In Service,Nova Shpg & Log,Royal Golden Eagle,Nova Shpg & Log,Oshima Shipbuilding,Panama,Fitted,Diesel 2-Stroke,South East Asia,Vietnam,Falcon Express,"43,591","54,339",356460000,9326366,14.20,"9,195"
Fully Cellular Container,2009,In Service,Koepping Reederei,Koepping Reederei,Unifeeder,Mawei SB (Mawei),Antigua & B.,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Sweden,Marburg,"11,550","13,425",305978000,9387592,18.00,"9,000"
Chemical & Oil Carrier,2020,In Service,CB Tankers,Lomar Shipping,Peninsula Petroleum,Jiangsu New Hantong,Madeira,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Spain,CB Caribic,"27,250","37,822",255806264,9851713,14.50,"6,500"
Chemical & Oil Carrier,2014,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,SPP Sacheon SY,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast South America,Argentina,STI Meraux,"29,732","49,990",538005419,9681118,14.00,"7,240"
Fully Cellular Container,2015,In Service,Hapag-Lloyd,Hapag-Lloyd,Hapag-Lloyd,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Asia,,Coyhaique,"93,685","104,544",636092814,9687588,23.80,"45,300"
Ore Carrier,2010,In Service,Mizuho Sangyo,Mizuho Sangyo,NYK Line,Universal SB (Tsu),Japan,Fitted,Diesel 2-Stroke,East Asia,,Oita Maru,"151,094","297,736",431209000,9398151,17.40,"22,700"
Product Carrier,2008,In Service,Monjasa AS,Monjasa AS,Monjasa AS,STX SB (Jinhae),Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,Angola,Monjasa Leader,"39,139","63,589",636023253,9346469,12.00,"13,551"
Bulk Carrier,2014,In Service,Spring Valley,Spring Valley SH,Spring Valley,Tsuneishi Cebu,Liberia,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,Aomari,"43,022","82,146",636023489,9622552,15.80,"9,710"
Tanker,2012,In Service,Ibaizabal Tankers,Co. Rem. Ibaizabal,Ibaizabal Tankers,Samsung HI,Madeira,Fitted,Diesel 2-Stroke,West Coast Africa,,Montesperanza,"81,187","159,179",255804750,9585871,14.50,"15,720"
Tanker,2018,In Service,Maran Tankers Mgmt,Angelicoussis Group,Chevron Shpg Co,Daewoo (DSME),Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,,El Segundo Voyager,"163,214","318,608",538011041,9827695,12.00,"25,330"
Bulk Carrier,2013,Idle,Maran Dry Mngt,Angelicoussis Group,,Shanghai Waigaoqiao,Greece,Fitted,Diesel 2-Stroke,West Coast Africa,Guinea,Maran Nobility,"106,884","205,938",241256000,9593220,15.50,"18,660"
Tanker,2013,In Service,Almi Tankers,Almi Tankers,Almi Tankers,Daewoo (DSME),Madeira,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,Almi Navigator,"84,156","157,564",255915881,9579561,14.00,"19,260"
Bulk Carrier,2013,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Sinopacific Dayang,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Madison Eagle,"35,812","63,301",538007509,9575278,14.50,"8,300"
Fully Cellular Container,2010,In Service,MSC,MSC,MSC,Daewoo (DSME),Panama,Fitted,Diesel 2-Stroke,West Coast Africa,,MSC Melatilde,"153,092","165,500",357240000,9404675,23.50,"72,240"
Fully Cellular Container,2000,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,East Coast South America,,MSC Illinois VII,"74,583","81,577",636021995,9197545,25.00,"57,100"
Fully Cellular Container,1993,In Service,MSC,MSC,MSC,Samsung HI,Panama,Fitted,Diesel 2-Stroke,Indian Subcontinent,,MSC Monica III,"37,398","43,378",351607000,9060649,22.50,"24,507"
Bulk Carrier,2007,In Service,Marmaras Navigation,Marmaras Navigation,Marmaras Navigation,Sungdong SB,Malta,Fitted,Diesel 2-Stroke,South East Asia,,Eptalofos,"49,973","92,567",249179000,9343869,13.80,"11,620"
Chemical Parcel Tanker,2009,In Service,Nat Chem Carriers,Bahri,Nat Chem Carriers,Hyundai Mipo,Saudi Arabia,Fitted,Diesel 2-Stroke,Middle East,Saudi Arabia,NCC Maha,"29,644","46,195",403502000,9387683,14.50,"9,468"
Tanker,2019,In Service,Maran Tankers Mgmt,Angelicoussis Group,Chevron Shpg Co,Daewoo (DSME),Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,United States,Pascagoula Voyager,"163,214","318,000",538011043,9827700,15.70,"25,330"
LPG Carrier,2015,In Service,BW LPG,BW Group,BW LPG,Jiangnan Changxing,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast Africa,,BW Passat,"46,789","53,701",538005616,9674854,16.80,"11,160"
Bulk Carrier,2016,In Service,Marmaras Navigation,Marmaras Navigation,Marmaras Navigation,Sungdong SB,Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Marigo P,"93,613","178,923",636024610,9689706,15.00,"15,483"
Fully Cellular Container,2009,In Service,MSC,MSC,MSC,Hyundai HI (Ulsan),Madeira,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,MSC Rida III,"94,511","95,810",255803480,9393307,27.50,"80,080"
Product Carrier,2008,In Service,Xi Hu Shipmngt,Xi Hu Shipmngt,Xi Hu Shipmngt,Namura Shipbuilding,Panama,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,Ru Yi,"56,326","105,852",352004960,9345623,14.70,"11,761"
Bulk Carrier,2014,In Service,Globus Maritime,Globus Maritime,Globus Maritime,Tsuneishi Cebu,Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,GLBS Gigi,"42,995","81,817",538009453,9623738,16.00,"9,590"
Tanker,2012,In Service,Mitsui OSK Lines,Mitsui OSK Lines,,Mitsui SB (Chiba),Panama,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Gassan,"160,137","308,209",352004301,9562697,16.90,"27,160"
Ore Carrier,2002,In Service,Zhejiang Xiehai Shpg,Zhejiang Xiehai Shpg,Xiehai Bulk Shpg,Imabari SB Saijo,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,XH Voyager,"118,305","233,584",636021349,9237230,15.10,"21,840"
Chemical & Oil Carrier,2020,In Service,Sinokor Merchant,Sinokor Merchant,ExxonMobil,Hyundai Mipo,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Morning Glory,"29,649","50,322",538008830,9877793,14.30,"7,180"
Bulk Carrier,2014,In Service,Mitsui OSK Lines,Mitsui OSK Lines,,Imabari SB Hiroshima,Liberia,Fitted,Diesel 2-Stroke,South East Asia,,Jasper Dream,"107,224","207,547",636024266,9567996,16.50,"16,420"
Bulk Carrier,2011,Idle,Berge Bulk,Berge Bulk,,Sungdong SB,Isle of Man,Fitted,Diesel 2-Stroke,Australasia,Australia,Berge Dhaulagiri,"93,169","179,191",232045201,9576337,15.30,"18,660"
Bulk Carrier,2007,In Service,YKJ Shipping,Ningbo Haizhou,YKJ Shipping,Shanghai Waigaoqiao,Marshall Is.,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Cape Ray,"91,373","177,853",538009462,9405071,14.50,"16,860"
Multi-Purpose/Heavy Lift Cargo,2000,In Service,Spliethoff,Spliethoff,Spliethoff,MHI Shimonoseki,Netherlands,Fitted,Diesel 4-Stroke,West Coast Africa,,Schippersgracht,"16,641","21,402",245578000,9197363,17.00,"12,062"
Fully Cellular Container,1994,In Service,MSC,MSC,MSC,Flensburger SB,Panama,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,MSC Eleonora III,"28,892","41,667",356167000,9064750,19.50,"18,196"
Fully Cellular Container,2006,In Service,MSC,MSC,MSC,Shanghai Chengxi,Cyprus,Pending,Diesel 2-Stroke,East Coast North America,Trinidad & Tobago,MSC Belmonte III,"35,975","42,141",210346000,9309289,23.50,"31,990"
Tanker,2010,In Service,Capital Ship Mgmt,Capital Maritime,Heidmar,Universal SB Ariake,Liberia,Fitted,Diesel 2-Stroke,Middle East,,Achilleas,"156,915","297,863",636014701,9398072,17.00,"25,485"
Shuttle Tanker,2015,In Service,AET Tankers,Petronas,Equinor Energy,Samsung HI,Norwegian Int'l,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Norway,Eagle Barents,"88,099","119,690",257980000,9676125,14.50,"14,500"
Fully Cellular Container,2014,In Service,SFL Corporation,Fredriksen Group,Hapag-Lloyd,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Morocco,Vancouver Express,"148,667","152,344",636018701,9667186,23.00,"53,250"
Bulk Carrier,2015,Idle,Golden Ocean Group,Fredriksen Group,SwissMarine Pte Ltd,Shanghai Waigaoqiao,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,KSL Stockholm,"94,528","181,043",477006100,9723514,14.80,"15,748"
Tanker,2008,In Service,Bahri,Bahri,Bahri,Hyundai Samho HI,Saudi Arabia,Fitted,Diesel 2-Stroke,South East Asia,,Jana,"160,782","317,693",403522001,9386938,16.70,"32,855"
Bulk Carrier,2006,In Service,HMC Shipmngt,Huayang Maritime,,Imabari SB Saijo,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Oriental Express,"90,091","180,211",636018254,9346366,14.50,"18,660"
Bulk Carrier,2012,In Service,Velos Dry,Velos Dry,Velos Dry,Tsuneishi Tadotsu SB,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast South America,,Velos Jasper,"43,013","82,030",538011131,9582491,15.20,"9,710"
Bulk Carrier,2012,In Service,Acheon Akti Nav,Acheon Akti Nav,Acheon Akti Nav,Shikoku Dock.,Panama,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Russia,Supernova B,"21,699","36,367",373563000,9610212,14.20,"7,300"
Ro-Ro Freight/Passenger,1994,In Service,Finnlines Plc,Grimaldi Group,Finnlines Plc,Stocznia Gdansk,Sweden,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Germany,Finnpartner,"33,313","9,017",266262000,9010163,18.00,"12,000"
Tanker,2021,Idle,Avin International,Vardinoyannis Group,,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,Kriti King,"81,209","158,005",636020097,9887255,15.00,"16,120"
